Player,Season,Team,Pos,GP,G,A,P,PPG,Salary (USD),PPG100
Vincent Desharnais,20232024,EDM,D,16,0,1,1,0.06,800000,6.25
Vincent Trocheck,20232024,NYR,C,16,8,12,20,1.25,5500000,125
Vladimir Tarasenko,20232024,FLA,R,24,5,4,9,0.38,7350000,37.5
Vladislav Gavrikov,20232024,LAK,D,5,0,2,2,0.40,3000000,40
Vladislav Namestnikov,20232024,WPG,C,4,1,0,1,0.25,3750000,25
Warren Foegele,20232024,EDM,L,22,3,5,8,0.36,800000,36.36363636
Will Cuylle,20232024,NYR,L,16,1,1,2,0.13,925000,12.5
William Karlsson,20232024,VGK,C,7,0,2,2,0.29,6250000,28.57142857
William Nylander,20232024,TOR,R,4,3,0,3,0.75,6800000,75
Wyatt Johnston,20232024,DAL,C,19,10,6,16,0.84,925000,84.21052632
Yakov Trenin,20232024,COL,C,10,1,0,1,0.10,925000,10
Zach Hyman,20232024,EDM,L,25,16,6,22,0.88,5400000,88
Zach Whitecloud,20232024,VGK,D,6,0,0,0,0.00,900000,0
